Date Of Stop,Time Of Stop,SubAgency,Description,Location,Accident,Belts,Personal Injury,Property Damage,Commercial License,Commercial Vehicle,Alcohol,State,Year,Make,Model,Color,Violation Type,Charge,Contributed To Accident,Race,Gender,Driver State,DL State,Arrest Type
08/27/2013,00:55:00,"2nd district, Bethesda","NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY, LIFE AND PERSON",CONNECTICUT/CHEVY CHASE LAKE,No,No,No,No,No,No,No,MD,2013.0,HYUNDAI,ELANTRA,GRAY,Citation,21-901.1(b),No,WHITE,F,MD,MD,A - Marked Patrol
10/08/2013,13:23:00,"4th district, Wheaton",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,GEORGIA AVE / BEL PRE RD,No,No,No,No,No,No,No,MD,1993.0,FORD,PICKUP,BLACK,Citation,13-401(h),No,HISPANIC,M,MD,MD,A - Marked Patrol
04/24/2015,00:38:00,"1st district, Rockville",DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,EB MONTROSE PKWY/EAST JEFFERSON ST,No,No,No,No,No,No,No,VA,2003.0,DODGE,SPRINTER,WHITE,Citation,21-204(b),No,HISPANIC,M,MD,MD,A - Marked Patrol
01/12/2014,20:56:00,"1st district, Rockville","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103",199 E. JEFFERSON ST.,No,No,No,No,No,No,No,MD,2013.0,NISSAN,SENTRA,GRAY,Citation,16-303(h),No,HISPANIC,M,MD,MD,A - Marked Patrol
02/14/2014,20:10:00,"1st district, Rockville",FAILURE TO DRIVE ON RIGHT HAND ROADWAY OF DIVIDED HWY,GATEWAY CENTER DR @ CLARKSBURG RD,No,No,No,No,No,No,No,MD,2005.0,CADI,STS,BLACK,Citation,21-311(1),No,WHITE,M,MD,WV,A - Marked Patrol
04/09/2014,22:22:00,"3rd district, Silver Spring",DRIVING VEHICLE ON HIGHWAY WITH AN EXPIRED LICENSE,MAHAN RD ON NEW HAMPSHIRE AVE,No,No,No,No,No,No,No,MD,2004.0,CHEVROLET,IMPALA,WHITE,Citation,16-115(g),No,BLACK,M,MD,MD,A - Marked Patrol
12/07/2012,18:36:00,"1st district, Rockville",DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,RT 255/REDLAND ROAD,No,No,No,No,No,No,No,MD,2011.0,TOYOTA,TACOMA,GREEN,Citation,21-902(a1),Yes,WHITE,M,MD,MD,A - Marked Patrol
09/22/2012,21:24:00,"3rd district, Silver Spring",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,29 N/B AT FAIRLAND RD,No,No,No,No,No,No,No,VA,2013.0,CADILLAC,CTS,SILVER,Citation,21-201(a1),No,BLACK,M,DC,DC,A - Marked Patrol
07/23/2013,23:15:00,"4th district, Wheaton",FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,108 / OLD BALTIMORE RD,No,No,No,No,No,No,No,MD,2000.0,SATURN,LS,SILVER,Citation,13-411(a),No,BLACK,F,MD,MD,A - Marked Patrol
10/28/2013,17:41:00,"6th district, Gaithersburg / Montgomery Village",DRIVER FAILURE TO YIELD RIGHT OF WAY ENTERING HWY. FROM PRIVATE ROAD,EMORY GROVE RD @ MEADOW GREEN WAY,No,No,No,No,No,No,No,MD,2003.0,HONDA,ACCORD,GOLD,Citation,21-404(b),Yes,BLACK,M,MD,MD,A - Marked Patrol
10/27/2012,19:13:00,"3rd district, Silver Spring",FAILURE TO STOP AT STOP SIGN,BROADBIRCH AND PLUM ORCHARD,No,No,No,No,No,No,No,MD,2011.0,DODGE,CALIBER,ORANGE,Citation,21-707(a),No,BLACK,M,MD,MD,A - Marked Patrol
02/11/2014,17:38:00,"4th district, Wheaton",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,S/B NEW HAMPSHIRE AVE @ BRIGGS CHANEY,No,No,No,No,No,No,No,MD,2006.0,HOND,TK,"BLUE, DARK",Citation,13-401(h),No,ASIAN,F,MD,MD,A - Marked Patrol
12/17/2015,13:15:00,"5th district, Germantown","FAILURE TO RETURN TO & REMAIN AT SCENE OF ACCIDENTINVOLVING ATTENDED DAMAGE,PROPERTY",19916 CRYSTAL ROCK DR,No,No,No,No,No,No,No,MD,2005.0,TOYOTA,CAMRY,BLACK,Citation,20-103(b),No,BLACK,M,MD,MD,A - Marked Patrol
03/20/2013,08:53:00,"4th district, Wheaton",EXCEEDING MAXIMUM SPEED: 49 MPH IN A POSTED 40 MPH ZONE,29/LOCKWOOD,No,No,No,No,No,No,No,MD,2004.0,ACUR,4S,GOLD,Citation,21-801.1,No,OTHER,M,MD,MD,Q - Marked Laser
05/12/2015,08:26:00,"1st district, Rockville",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED LICENSE AND PRIVILEGE,WOOTTON PKWY @ PRESERVE PKWY,No,No,No,No,No,No,No,VA,2002.0,FORD,ECONOLINE,WHITE,Citation,16-303(d),No,HISPANIC,M,MD,MD,A - Marked Patrol
09/08/2012,07:47:00,"1st district, Rockville","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103",CRABBS BRANCH @ REDLAND ROAD,No,No,No,No,No,No,No,MD,2000.0,LEXUS,RX300,WHITE,Citation,16-303(h),No,WHITE,F,MD,MD,A - Marked Patrol
01/12/2013,08:53:00,"2nd district, Bethesda",DRIVER WHEN TURNING LEFT FAIL TO YIELD RIGHT OF WAY TO VEHICLE APPROACHING FROM OPPOSITE DIRECTION,355 X SOUTH DR,No,No,No,No,Yes,Yes,No,MD,2012.0,GILL,HY,BLUE,Citation,21-402(a),No,BLACK,F,MD,MD,A - Marked Patrol
10/15/2012,10:20:00,"3rd district, Silver Spring",FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,UNIVERSITY BLVD/BUCKINGHAM DRIVE,No,No,No,No,No,No,No,MD,1999.0,PONTIAC,GRAND PRIX,BLACK,Citation,16-116(a),No,WHITE,F,MD,MD,A - Marked Patrol
10/25/2015,11:17:00,"3rd district, Silver Spring",DRIVING VEHICLE ON HIGHWAY WITH AN EXPIRED LICENSE,RT. 29/ STEWART LN.,No,No,No,No,Yes,No,No,MD,1991.0,LEXUS,4S,BLACK,Citation,16-115(g),No,BLACK,M,DC,DC,A - Marked Patrol
05/22/2013,14:04:00,"6th district, Gaithersburg / Montgomery Village",FAILURE TO ATTACH VEH. REG. PLATES AT FRONT AND REAR,12413 PUEBLO ROAD,No,No,No,No,No,No,No,MD,2005.0,CADI,ESCALADE,BLACK,Citation,13-411(a),No,WHITE,M,MD,MD,A - Marked Patrol
02/06/2014,07:29:00,"2nd district, Bethesda",DRIVER CHANGING LANES WHEN UNSAFE,WILLARD AVE/NORTH PARK AVE,No,No,No,Yes,No,No,No,MD,2005.0,HONDA,PILOT,GRAY,Citation,21-309(b),Yes,WHITE,M,MD,MD,A - Marked Patrol
05/27/2013,14:13:00,"6th district, Gaithersburg / Montgomery Village",EXCEEDING MAXIMUM SPEED: 80 MPH IN A POSTED 55 MPH ZONE,NB 270 / MUDDY BRANCH RD,No,No,No,No,No,No,No,MD,2012.0,JEEP,4X4,GRAY,Citation,21-801.1,Yes,WHITE,F,MD,MD,A - Marked Patrol
09/29/2013,21:43:00,"1st district, Rockville",FAILURE OF VEH. DRIVER TO STOP AFTER UNATTENDED VEH DAMAGE ACCIDENT,11717 TRAILRIDGE DR,No,No,No,No,No,No,No,MD,2011.0,AUDI,S5,BLACK,Citation,20-105(a),No,ASIAN,M,MD,MD,A - Marked Patrol
12/06/2012,13:07:00,"4th district, Wheaton",FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,"E/B RT 108 AT PRINCE PHILLIP DRIVE, OLNE",No,No,No,No,No,No,No,MD,2008.0,TOYT,RAV 4,GREEN,Citation,16-116(a),No,ASIAN,M,NY,NY,A - Marked Patrol
05/10/2013,00:00:00,"6th district, Gaithersburg / Montgomery Village",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,S/B I-270 @ MONTGOMERY VILLAGE AVE,No,No,No,No,No,No,No,MD,2010.0,MERCEDES,SUV,BLACK,Citation,16-112(c),No,BLACK,M,VA,VA,A - Marked Patrol
09/19/2013,14:12:00,"3rd district, Silver Spring",DRIVER FAILURE TO YIELD RIGHT-OF-WAY AT INTERSECTION YIELD SIGN,COLESVILLE RD @ 16TH ST,No,No,No,No,No,No,No,MD,2008.0,BUICK,ENCLAVE,WHITE,Citation,21-403(d),Yes,BLACK,M,MD,MD,A - Marked Patrol
11/15/2012,09:50:00,"6th district, Gaithersburg / Montgomery Village",DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,SHADY FROVE RD & CRABBS BRANCH WAY,No,No,No,No,No,No,No,MD,2004.0,MITSUBISHI,GALLANT,WHITE,Citation,13-411(d),No,WHITE,M,MD,MD,A - Marked Patrol
11/30/2013,22:55:00,"5th district, Germantown",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,118 @ DAWSON FARM RD,No,No,No,No,No,No,No,MD,2013.0,ACURA,SUV,BLACK,Citation,13-409(b),No,ASIAN,M,MD,MD,A - Marked Patrol
05/25/2012,10:39:00,"3rd district, Silver Spring",DRIVER FAILURE TO STOP AT STOP SIGN LINE,SB BROADBIRCH DR/ PLUM ORCHARD DR,No,No,No,No,No,No,No,MD,2008.0,FORD,F150,"BLUE, DARK",Citation,21-707(a),No,WHITE,M,MD,MD,A - Marked Patrol
06/26/2013,20:15:00,"3rd district, Silver Spring",FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,10206 NEW HAMPSHIRE AVE,No,No,No,Yes,No,No,No,MD,2000.0,HONDA,ACCORD,RED,Citation,21-801(b),No,BLACK,M,MD,XX,A - Marked Patrol
01/08/2013,16:33:00,"6th district, Gaithersburg / Montgomery Village",DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,AIRPARK @ STRATOS,No,No,Yes,No,No,No,No,MD,2012.0,KAWASAKI,NINJA,GREEN,Citation,16-101(a),No,WHITE,F,MD,MD,A - Marked Patrol
12/08/2012,23:54:00,"1st district, Rockville",DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,VEIRS MILL RD AT DODGE ST,No,No,No,No,No,No,No,MD,2004.0,ACURA,MDX,BLACK,Citation,13-411(d),No,WHITE,M,MD,MD,A - Marked Patrol
08/07/2012,17:23:00,"2nd district, Bethesda",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,LEXINGTON ST/PERRY AVE,No,No,No,No,No,No,No,PA,1998.0,TOYOTA,4RUNNER,GRAY,Citation,21-201(a1),No,WHITE,F,PA,PA,A - Marked Patrol
01/30/2013,20:51:00,"6th district, Gaithersburg / Montgomery Village",DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,WATKINS MILL RD / STEDWICK RD,No,No,No,No,No,No,No,MD,2000.0,CHEV,MALIBU,WHITE,Citation,16-101(a),No,HISPANIC,M,MD,MD,A - Marked Patrol
11/18/2012,22:03:00,"6th district, Gaithersburg / Montgomery Village",OPERATOR NOT RESTRAINED BY SEATBELT,RIO BLVD @ SAM EIG,No,No,No,No,No,No,No,VA,1994.0,TOYOTA,CAMERY,WHITE,Citation,22-412.3(b),No,ASIAN,M,VA,VA,A - Marked Patrol
11/08/2013,22:44:00,"6th district, Gaithersburg / Montgomery Village",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,WISTERIA/118,No,No,No,No,No,No,No,MD,2001.0,CHRY,SEBRING,SILVER,Citation,16-303(c),No,BLACK,F,MD,MD,M - Marked (Off-Duty)
09/15/2012,21:56:00,"5th district, Germantown","DRIVING, MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION",FREDERICK RD @ GERMANTOWN ROAD,No,No,No,No,No,No,No,MD,1998.0,TOYOTA,CAMRY,WHITE,Citation,16-101(a),No,BLACK,M,MD,MD,A - Marked Patrol
01/15/2014,09:16:00,"3rd district, Silver Spring",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,GREENCASTLE RD / ROBEY RD,No,No,No,No,No,No,No,MD,2012.0,MAZDA,3,SILVER,Citation,13-409(b),No,HISPANIC,F,MD,MD,A - Marked Patrol
07/31/2012,10:40:00,"4th district, Wheaton",EXCEEDING MAXIMUM SPEED: 49 MPH IN A POSTED 40 MPH ZONE,UNIVERSITY BLVD W/ORANGE DR,No,No,No,No,No,No,No,MD,2012.0,KIA,4D,WHITE,Citation,21-801.1,No,BLACK,F,MD,MD,A - Marked Patrol
06/25/2013,20:24:00,"6th district, Gaithersburg / Montgomery Village",WILLFULLY DISOBEYING LAWFUL ORDER AND DIRECTION OF POLICE OFFICER,MONTGOMERY VILLAGE AVE @ CLUB HOUSE RD,No,No,No,No,No,No,No,MD,2002.0,INFI,G35,SILVER,Citation,21-103(a),No,HISPANIC,F,MD,MD,A - Marked Patrol
05/04/2012,10:58:00,"4th district, Wheaton",FAILURE TO CONTROL VEH. SPEED ON HWY. TO AVOID COLLISION,AMHERST AVE/LAMBERTON DRIVE,No,No,No,No,No,No,No,MD,2004.0,FORD,2S,BEIGE,Citation,21-801(b),Yes,HISPANIC,F,MD,MD,A - Marked Patrol
02/09/2013,11:59:00,"4th district, Wheaton",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,REEDIE DR/FERN STREET,No,No,No,No,No,No,No,MD,1997.0,FORD,EXPLORER,RED,Citation,21-201(a1),No,HISPANIC,F,MD,MD,A - Marked Patrol
10/01/2013,06:51:00,"4th district, Wheaton",FAILURE TO CONTROL VEH. SPEED ON HWY. TO AVOID COLLISION,GEORGIA AVE/HEWITT AVE,No,No,Yes,No,No,No,No,XX,2012.0,SUNNY,NINGBO,RED,Citation,21-801(b),No,HISPANIC,M,MD,XX,A - Marked Patrol
09/06/2012,09:37:00,"3rd district, Silver Spring",OPERATOR NOT RESTRAINED BY SEATBELT,FALLSGROVE BLVD @ FALLSGROVE RD,No,No,No,No,No,No,No,MD,2012.0,INFI,G37,SILVER,Citation,22-412.3(b),No,ASIAN,M,MD,MD,A - Marked Patrol
05/02/2014,22:43:00,Headquarters and Special Operations,FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,FLOWER AVE @ DOMER AVE,No,No,No,No,No,No,No,MD,1996.0,HOND,CIVIC,WHITE,Citation,22-226(a),No,HISPANIC,M,MD,MD,B - Unmarked Patrol
04/22/2013,17:03:00,"6th district, Gaithersburg / Montgomery Village",DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,MONTGOMERY VILLAGE @ WALKERS CHOICE,No,No,No,No,No,No,No,MD,2001.0,TOYOTA,RAV 4,BLUE,Citation,16-101(a),No,BLACK,F,MD,MD,A - Marked Patrol
01/18/2014,22:22:00,"4th district, Wheaton","NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY, LIFE AND PERSON",GRANDVIEW AVE/RANDOLPH RD,No,No,No,Yes,No,No,No,MD,2005.0,FORD,EXPEDITION,BLACK,Citation,21-901.1(b),No,HISPANIC,M,MD,MD,A - Marked Patrol
10/13/2012,17:42:00,"3rd district, Silver Spring",POSSESSING SUSPENDED LIC.,12060 CHERRY HILL ROAD,No,No,No,No,No,No,No,MD,2002.0,PONTIAC,GRAND AM,RED,Citation,16-301(j),No,HISPANIC,M,MD,MD,A - Marked Patrol
02/24/2015,08:22:00,"3rd district, Silver Spring",UNSAFE BACKING OF MOTOR VEH.,10009 RENFREW ROAD,No,No,No,No,No,No,No,MD,2007.0,LINCOLN,MARK LT,CREAM,Citation,21-1102(a),No,WHITE,M,MD,MD,A - Marked Patrol
05/24/2012,00:12:00,"1st district, Rockville",DRIVING WHILE IMPAIRED BY ALCOHOL,OLD GEORGETOWN RD / HUNTINGTON PKWY,No,No,No,No,No,No,No,MD,2000.0,SUBARU,OUTBACK,WHITE,Citation,21-902(b1),No,WHITE,M,MD,MD,Q - Marked Laser
09/23/2012,22:02:00,"6th district, Gaithersburg / Montgomery Village",DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,MUNCASTER MILL RD AT IVY OAK RD,No,No,No,No,No,No,No,MD,2002.0,MITSUBISHI,GALANT,RED,Citation,13-411(d),No,BLACK,F,MD,MD,A - Marked Patrol
03/31/2014,21:59:00,"3rd district, Silver Spring",VIOLATING PROVISIONAL LIC. RESTRICTION,FLOWER AVE AT ARLISS ST,No,No,No,No,No,No,No,FL,2001.0,FORD,FOCUS,GOLD,Citation,16-113(i),No,BLACK,M,MD,MD,A - Marked Patrol
12/09/2012,02:19:00,"1st district, Rockville",DRIVING VEHICLE IN VIOLATION OF RESTRICTED LICENSE REQUIREMENT,R355/MONTROSE RD,No,No,No,No,No,No,No,MD,2005.0,WV,JETTA,GRAY,Citation,16-113(h),No,WHITE,M,MD,MD,A - Marked Patrol
04/25/2013,14:35:00,"1st district, Rockville",FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,9300 BLK OLD GEORGETOWN RD,No,No,No,No,No,No,No,MD,2013.0,HYUNDA,TUCSON,RED,Citation,16-116(a),No,WHITE,M,MD,CA,A - Marked Patrol
03/17/2014,15:25:00,"1st district, Rockville",DRIVING VEH. ON HWY. WITH UNPAID REGISTRATION FEE,KEY WEST AT SHADY GROVE,No,No,No,No,No,No,No,MD,2002.0,JEEP,SUV,BLACK,Citation,13-401(d),No,HISPANIC,M,MD,MD,A - Marked Patrol
07/26/2012,09:24:00,"4th district, Wheaton",EXCEEDING MAXIMUM SPEED: 44 MPH IN A POSTED 35 MPH ZONE,CASHELL / MUSIC GROVE,No,Yes,No,No,No,No,No,MD,1999.0,HONDA,2S,BLACK,Citation,21-801.1,No,OTHER,M,MD,MD,Q - Marked Laser
10/20/2015,11:00:00,"5th district, Germantown","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER TR 17-106,",RIDGE ROAD AND KINGS VALLEY,No,No,No,No,No,No,No,MD,2005.0,GMC,YUKON,BLACK,Citation,16-303(h),No,WHITE,M,MD,MD,A - Marked Patrol
06/18/2014,11:17:00,"1st district, Rockville",DRIVER FAIL TO MAKE REQUIRED STOP AT  SIGN,BELLS MILL RD AND GAINSBOROUGH RD,No,No,No,No,No,No,No,MD,2012.0,FIAT,500,RED,Citation,21-202(m),No,WHITE,F,MD,MD,A - Marked Patrol
05/26/2012,12:58:00,"2nd district, Bethesda",OPERATOR NOT RESTRAINED BY SEATBELT,ROCKVILLE PIKE / MARINELLI RD,No,No,No,No,No,No,No,MD,1999.0,NISS,4S,TAN,Citation,22-412.3(b),No,OTHER,M,MD,MD,A - Marked Patrol
05/04/2013,09:26:00,"6th district, Gaithersburg / Montgomery Village",DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY,MUNCASTER MILL ROAD / LAYTONIA DRIVE,No,No,No,Yes,No,No,No,MD,1997.0,HOND,4S,BEIGE,Citation,21-801(a),Yes,WHITE,M,MD,MD,A - Marked Patrol
10/04/2014,12:17:00,"1st district, Rockville","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103",DARNESTOWN RD @ SHADY GROVE RD,No,No,No,No,No,No,No,VA,1999.0,HONDA,CIVIC,GREEN,Citation,16-303(h),No,WHITE,M,MD,MD,A - Marked Patrol
09/06/2012,10:43:00,"1st district, Rockville",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,ROCKVILLE PIKE AT ROLLINS AVENUE,No,No,No,No,No,No,No,MD,1998.0,FORD,EXPEDITION,BLACK,Citation,13-401(h),No,HISPANIC,M,MD,MD,A - Marked Patrol
04/22/2013,08:40:00,"4th district, Wheaton",DRIVER FAILURE TO OBEY DESIGNATED LANE DIRECTIONS,RTE 108 AND DR. BIRD RD,No,No,No,No,No,No,No,MD,2003.0,LEXUS,GS300,BLACK,Citation,21-309(d),No,WHITE,M,MD,MD,A - Marked Patrol
12/16/2013,22:26:00,"2nd district, Bethesda",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,WISCONSIN AVE AND CHASE AVE,No,No,No,No,No,No,No,MD,2011.0,MAZDA,2,SILVER,Citation,16-303(c),No,BLACK,M,MD,MD,A - Marked Patrol
09/18/2015,20:54:00,"6th district, Gaithersburg / Montgomery Village",DRIVER OF MOTOR VEHICLE FOLLOWING VEHICLE CLOSER THAN REASONABLE AND PRUDENT,MUDDY BRANCH RD AT THE 270 OVERPASS,No,No,No,No,No,No,No,MD,2012.0,TOYOTA,CAMRY,PURPLE,Citation,21-310(a),No,NATIVE AMERICAN,F,MD,MD,A - Marked Patrol
06/29/2013,19:38:00,"5th district, Germantown",FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,ENTRANCE RAMP S270 AT DEMOCRACY BLVD,No,No,No,No,No,No,No,MD,2007.0,BMW,4S,TAN,Citation,13-411(a),No,OTHER,M,MD,MD,A - Marked Patrol
09/13/2014,14:04:00,"2nd district, Bethesda",UNAUTHORIZED DISPLAY AND USE OF REGISTRATION PLATE,WESTBARD AVENUE @ MASSACHUSETTS AVENUE,No,Yes,No,Yes,No,No,No,VA,1998.0,CHEVROLET,CAVALIER,GOLD,Citation,13-703(g),No,BLACK,M,MD,MD,A - Marked Patrol
11/02/2012,10:34:00,"4th district, Wheaton",UNAUTHORIZED DISPLAY AND USE OF REGISTRATION PLATE,GEORGIA AVE/ HEATHFIELD,No,No,No,No,No,No,No,MD,1996.0,OLDS,4S,WHITE,Citation,13-703(g),No,WHITE,M,MD,MD,A - Marked Patrol
09/03/2012,00:45:00,"4th district, Wheaton",IMPROPER USE OF VEH. FOG LAMP,LAYHILL RD & BRIGGS RD,No,No,No,No,No,No,No,MD,2001.0,FORD,TK EXPLPORER,WHITE,Citation,22-217(b),No,HISPANIC,M,MD,MD,A - Marked Patrol
07/27/2014,18:07:00,"3rd district, Silver Spring",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,326 SOUTHAMPTON DR,No,No,No,No,No,No,No,MD,1996.0,HONDA,CIV,SILVER,Citation,13-401(h),No,HISPANIC,M,MD,XX,A - Marked Patrol
05/28/2013,00:13:00,"3rd district, Silver Spring",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,PINEY BRANCH RD/CARROLL AVE,No,No,No,No,No,No,No,MD,2000.0,TOYOTA,COROLLA,TAN,Citation,16-112(c),No,HISPANIC,M,MD,MD,A - Marked Patrol
05/27/2014,09:43:00,"6th district, Gaithersburg / Montgomery Village",OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY,QUINCE ORCHARD,No,No,No,No,No,No,No,MD,2009.0,MITS,4S,RED,Citation,13-401(b1),No,HISPANIC,M,MD,MD,B - Unmarked Patrol
04/21/2013,05:25:00,"4th district, Wheaton",STANDING VEH. W/I 30 FT OF  YIELD SIGN TRAFFIC CONTROL SIGNAL),GEORGIA AVE AND DENNIS,No,No,No,No,No,No,No,MD,1996.0,FORD,EXPLORER,GREEN,Citation,21-1003(o),No,WHITE,F,MD,MD,B - Unmarked Patrol
