SubAgency,Description,Location,Belts,Personal Injury,Property Damage,CommercialLicense,CommercialVehicle,Alcohol,State,Make,Model,Color,ViolationType,Charge,ContributedToAccident,Race,Gender,Driver State,DL State,ArrestType
"6th district, Gaithersburg / Montgomery Village",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,COLUMBIA PIKE/NEW HAMPSHIRE AVE,Yes,Yes,No,No,No,No,DC,TOYOTA,YARIS,BLACK,Citation,21-201(a1),Yes,BLACK,M,DC,DC,A - Marked Patrol
"4th district, Wheaton",FAILURE TO EQUIP MOTORCYCLE WITH REQUIRED HEADLAMPS,11604 ELKIN ST,No,No,No,No,No,No,MD,BMW,4D,BLACK,Warning,22-203(c),No,WHITE,F,MD,MD,A - Marked Patrol
"5th district, Germantown",FAILURE OF DRIVER TO DRIVE TO CURB UPON SIGNAL BY POLICE VEH.,GREAT SENECA HWY @ WISTERIA DR,No,No,No,No,No,No,MD,NISS,ROUGE,BLACK,Citation,21-405(b),No,BLACK,M,MD,MD,A - Marked Patrol
"3rd district, Silver Spring",DRIVING VEH. W/O ADEQUATE REAR REG. PLATE ILLUMINATION,LOCKWOOD DR / NEW HAMPSHIRE,No,No,No,No,No,No,MD,MITS,4S,SILVER,Warning,22-204(f),No,BLACK,F,MD,MD,A - Marked Patrol
"3rd district, Silver Spring","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103",COLUMBIA PIKE / LOCKWOOD DR,No,No,No,No,No,No,MD,CHEV,CAMARO,WHITE,Citation,16-303(h),No,BLACK,M,MD,MD,A - Marked Patrol
"4th district, Wheaton",DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,2400 BLK ARCOLA AVE,No,No,No,No,No,No,MD,LEXU,4S,SILVER,Warning,21-202(h1),No,ASIAN,F,MD,MD,A - Marked Patrol
Headquarters and Special Operations,EXCEEDING MAXIMUM SPEED: 79 MPH IN A POSTED 55 MPH ZONE,NB I-270 / FERNWOOD ROAD,No,No,No,No,No,No,MD,LEXUS,4DR,WHITE,Citation,21-801.1,No,HISPANIC,M,MD,MD,Q - Marked Laser
"2nd district, Bethesda",DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,DEMOCRACY BLVD / WESTLAKE DR,No,No,No,No,No,No,DC,CADILLAC,SRX,MAROON,Warning,13-411(f),No,WHITE,M,DC,DC,A - Marked Patrol
"3rd district, Silver Spring",DRIVING VEH IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HWY,EB  CHERRY HILL RD/FDA BLVD,No,No,No,No,No,No,MD,INFINITY,G35,WHITE,Citation,21-801(a),No,HISPANIC,M,MD,MD,A - Marked Patrol
"3rd district, Silver Spring",EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,NEW HAMPSHIRE AVE/ VENICE DR,No,No,No,No,No,No,MD,FORD,EXCURSION 4D,WHITE,Warning,21-801.1,No,BLACK,F,MD,MD,Q - Marked Laser
"5th district, Germantown",EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,27000 BLOCK OF CLARKSBURG ROAD,No,No,No,No,No,No,MD,CHEV,SILV,SILVER,Warning,21-801.1,No,WHITE,M,MD,MD,A - Marked Patrol
"5th district, Germantown",FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,OBSERVATION DR/SENECA PARKWAY,No,No,No,No,No,No,MD,TOYT,4D,SILVER,Warning,16-116(a),No,HISPANIC,M,MD,MD,A - Marked Patrol
"4th district, Wheaton",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,S/B 270 @ 118,No,No,No,No,Yes,No,MD,HYUNDAI,ELANTRA,GRAY,Citation,13-409(b),No,WHITE,F,MD,MD,A - Marked Patrol
"6th district, Gaithersburg / Montgomery Village",FAILURE VEH. TO YIELD INTERSECTION RIGHT-OF-WAY TO ANOTHER VEH.,RUSSELL AVE AT CHRISTOPHER AVE.,No,No,No,No,No,No,MD,CHRYSLER,VAN,GREEN,Warning,21-401,No,OTHER,M,MD,MD,A - Marked Patrol
"6th district, Gaithersburg / Montgomery Village",STOPLIGHT INOPERATIVE,RAMP FROM I270 N/B TO QUINCE ORCHARD RD,No,No,No,No,No,No,VA,TOYT,VN,GOLD,Warning,11-393.9,No,OTHER,M,VA,VA,A - Marked Patrol
"6th district, Gaithersburg / Montgomery Village",EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH,W/B IS 370 @ IS 270,No,No,No,No,No,No,MD,ACURA,3.2 TL,GOLD,Warning,21-801.1,No,WHITE,F,MD,MD,Q - Marked Laser
"4th district, Wheaton",DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,NORBECK RD AT BAUER DR,No,No,No,No,No,No,MD,CHRYSLER,200,SILVER,Warning,21-1124.2(d2),No,BLACK,M,NC,NC,A - Marked Patrol
"4th district, Wheaton",DRIVING VEH. ON HWY. W/O REQUIRED MINIMUM EQUIPMENT,VEIRS MILL RD/REEDIE DR,No,No,No,No,No,No,DC,TOYOTA,COROLLA,SILVER,Citation,23-104,No,WHITE,M,DC,DC,A - Marked Patrol
"1st district, Rockville",DRIVING VEHICLE IN HOV LANE WHEN NOT AUTHORIZED BY TRAFFIC CONTROL DEVICE,N/B 270 FLYOVER RAMP,No,No,No,No,No,No,MD,NISS,4S,SILVER,Warning,21-314(b),No,BLACK,F,MD,MD,A - Marked Patrol
"5th district, Germantown",DRIVER FAIL TO STOP AT RED TRAFFIC SIGNAL BEFORE RIGHT TURN,RT. 118 @ FATHER HURLEY BLVD,No,No,No,No,No,No,MD,TOYT,CAMRY,SILVER,Warning,21-202(i1),No,WHITE,M,MD,MD,A - Marked Patrol
"5th district, Germantown",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,OBSERVATION DR AT SHAKESPEARE BV,No,No,No,No,No,No,MD,NISS,4S,SILVER,Citation,21-201(a1),No,OTHER,M,MD,MD,B - Unmarked Patrol
"1st district, Rockville",DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,CRABBS BRANCH PWY AT REDLAND RD,No,No,No,No,No,No,MD,MERZ,TK ML350,BLACK,Citation,21-1124.2(d2),No,WHITE,M,MD,MD,A - Marked Patrol
"2nd district, Bethesda",DRIVING MOTOR VEH. WHILE LIC. SUSPENDED UNDER 26-206,270/355,No,No,No,No,No,No,MD,BMW,X5,WHITE,Citation,16-303(h),No,BLACK,M,MD,MD,S - License Plate Recognition
"4th district, Wheaton",OPERATING VEHICLE ON HIGHWAY WITH UNAUTHORIZED WINDOW TINTING MATERIAL,UNIVERSITY BLVD W / AMHERST AVE,No,No,No,No,No,No,MD,HONDA,ACCORD,RED,Warning,22-406(i1),No,HISPANIC,M,MD,MD,A - Marked Patrol
"2nd district, Bethesda",PERMITTING TO BE DISPLAYED  REG. PLATE ISSUED FOR OTHER VEHICLE,CONNECTICUT AVE  @  E/W HIGHWAY,No,No,No,No,No,No,XX,FORD,F250,WHITE,Citation,13-411(g),No,WHITE,M,VA,VA,A - Marked Patrol
"6th district, Gaithersburg / Montgomery Village",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,N FREDERICK AVE @ PROFESSIONAL DR,No,No,No,No,No,No,MD,CHEV,TRAILBLAZER,BLACK,Citation,16-112(c),No,BLACK,M,MD,MD,Q - Marked Laser
"4th district, Wheaton",EXCEEDING MAXIMUM SPEED: 44 MPH IN A POSTED 35 MPH ZONE,SB RT 97 AT EVANS LA 2,No,No,No,No,No,No,MD,TOYOTA,CAMRY,SILVER,Citation,21-801.1,No,HISPANIC,M,MD,MD,Q - Marked Laser
"2nd district, Bethesda",DRIVER FAILURE TO STOP FOR PEDESTRIAN IN CROSSWALK,WILLARD AVE @ WISCONSIN AVE,No,No,No,No,No,No,MD,FORD,FOCUS,RED,Warning,21-502(a2),No,OTHER,F,MD,MD,A - Marked Patrol
"3rd district, Silver Spring",FAILURE TO EQUIP VEH. WITH REQUIRED REAR STOP LAMP,LOCKWOOD / RTE 29,No,No,No,No,No,No,MD,TOYOTA,COROLLA,RED,Warning,22-219(a),No,WHITE,F,MD,MD,A - Marked Patrol
"2nd district, Bethesda",DRIVING A MOTOR VEHICLE WITHOUT LIGHTED HEAD LAMPS OR FOG LIGHTS WHILE OPERATING WINDSHIELD WIPERS,OLD GEORGETOWN RD @ 270,No,No,No,No,No,No,MD,TOYT,VN,WHITE,Warning,22-201.2,No,WHITE,M,MD,MD,A - Marked Patrol
"6th district, Gaithersburg / Montgomery Village",OCCUPANT UNDER 16 NOT RESTRAINED BY SEATBELT,N SUMMIT AVE & BROOKES AVE  GAITH ELEM S,No,No,No,No,No,No,MD,NISS,VN QUEST,RED,Citation,22-412.3(b),No,WHITE,F,MD,MD,A - Marked Patrol
"4th district, Wheaton",FAILURE YIELD RIGHT OF WAY ON LEFT TURN,14000 GEORGIA AVE,No,No,No,No,No,No,MD,TOYT,HIGHLANDER,WHITE,Warning,21-402(a),No,WHITE,F,MD,MD,A - Marked Patrol
Headquarters and Special Operations,DISPLAY SUSPENDED LIC.,PINEY BRANCH RD @ UNIVERSITY BLVD,No,No,No,No,No,No,MD,NISSAN,ALTIMA,"BLUE, DARK",Citation,16-301(e),No,BLACK,F,MD,MD,A - Marked Patrol
"6th district, Gaithersburg / Montgomery Village",HOLDER OF LEARNER'S PERMIT DRIVING W/O REQ. SUPERVISION,QUINCE ORCHARD RD @ N. FREDERICK AVE,No,No,No,No,No,No,MD,HYUNDAI,SANTA FE,BLACK,Citation,16-105(b1),No,BLACK,M,MD,MD,A - Marked Patrol
"6th district, Gaithersburg / Montgomery Village",DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING,270/MONTGOMERY VILLAGE AVENUE,No,No,No,No,No,No,MD,TOYOTA,MATRIX,SILVER,Warning,21-204(d),No,WHITE,M,MD,MD,A - Marked Patrol
"5th district, Germantown",DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,RIDGE RD & MAIN STREET,No,No,No,Yes,No,No,MD,INTERNAT,SLIDE BACK,BLUE,Warning,21-1124.2(d2),No,WHITE,M,PA,PA,A - Marked Patrol
"1st district, Rockville",EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,DARNESTOWN AND SHADY GROVE,No,No,No,No,No,No,MD,SUBARU,LEGACY,"BLUE, LIGHT",Warning,21-801.1,No,HISPANIC,F,MD,MD,A - Marked Patrol
"1st district, Rockville","DRIVER FAILURE TO YIELD RIGHT OF WAY ENTERING, CROSSING HWY. FROM PRIVATE ROAD, DRIVEWAY",15800BLK PARAMOUNT DR,No,No,No,No,No,No,MD,LEXUS,4S,GRAY,Citation,21-404(b),No,BLACK,F,MD,MD,A - Marked Patrol
"3rd district, Silver Spring",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,13800 BLK OUTLET DRIVE,No,No,No,No,No,No,MD,MERCURY,MOUNTAINEER,GREEN,Citation,13-401(h),No,BLACK,F,MD,MD,A - Marked Patrol
"1st district, Rockville",DRIVER FAILURE TO STOP AT STOP SIGN LINE,CADBURY AVE/ANSIN CIRCLE DR,No,No,No,No,No,No,MD,KIA,OPTIMA,BLACK,Citation,21-707(a),No,WHITE,M,MD,MD,A - Marked Patrol
"2nd district, Bethesda",EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH,S.B. 1-270 @ RT. 121,No,No,No,No,No,No,VA,TOYOTA,TACOMA,BLACK,Warning,21-801.1,No,BLACK,M,VA,VA,Q - Marked Laser
"2nd district, Bethesda",FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,BEL PRE RD @ DUNSINANE DR,No,No,No,No,No,No,MD,MERCEDES,ML430,BLACK,Warning,13-411(a),No,BLACK,M,MD,MD,A - Marked Patrol
"4th district, Wheaton",EXCEEDING MAXIMUM SPEED: 58 MPH IN A POSTED 45 MPH ZONE,VEIRS MILL @ ARBUTUS,No,No,No,No,No,No,MD,MAZDA,CX7,PURPLE,Citation,21-801.1,No,OTHER,F,MD,MD,A - Marked Patrol
"6th district, Gaithersburg / Montgomery Village",DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,EAST DIAMOND AVE,No,No,No,No,No,No,MD,MITTS,GALANT,"GREEN, LGT",Citation,13-411(d),No,BLACK,M,MD,MD,A - Marked Patrol
"4th district, Wheaton",DRIVER OF MOTOR VEHICLE FOLLOWING VEHICLE CLOSER THAN REASONABLE AND PRUDENT,GEORGIA AVE AT ASPEN HILL RD,No,No,Yes,No,No,No,MD,DODGE,INTREPID,SILVER,Citation,21-310(a),No,BLACK,M,MD,MD,A - Marked Patrol
"3rd district, Silver Spring",DRIVER CHANGING LANES WHEN UNSAFE,WAYNE AVE / FENTON ST,No,No,No,No,No,No,MD,NISSAN,VERSA,SILVER,Citation,21-309(b),No,BLACK,M,MD,MD,A - Marked Patrol
"5th district, Germantown",EXCEEDING MAXIMUM SPEED: 64 MPH IN A POSTED 55 MPH ZONE,NB IS 270 AND GAME PRESERVE,No,No,No,No,No,No,MD,TOYT,CAMRY,BLUE,Citation,21-801.1,No,WHITE,F,MD,MD,Q - Marked Laser
"6th district, Gaithersburg / Montgomery Village",DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,MD 117 @ PERRY PKWY,No,No,No,No,No,No,MD,CHEVY,EXPRESS,WHITE,Citation,21-202(h1),No,HISPANIC,M,MD,MD,A - Marked Patrol
Headquarters and Special Operations,EXCEEDING MAXIMUM SPEED: 39 MPH IN A POSTED 30 MPH ZONE,28 AND BLACKBERRY,No,No,No,No,No,No,MD,FPRD,EXPLORER,BLACK,Citation,21-801.1,No,WHITE,M,MD,MD,Q - Marked Laser
"3rd district, Silver Spring",DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,SB COLESVILLE RD @ LORAIN AVE,No,No,No,No,No,No,MD,SATRN,4S,RED,Citation,13-411(d),No,WHITE,M,MD,MD,L - Motorcycle
"6th district, Gaithersburg / Montgomery Village",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,ODEND HAL AVE / LOST KNIFE RD,Yes,No,No,No,No,No,MD,TOYT,4S CAMRY,WHITE,Citation,13-401(h),No,HISPANIC,M,MD,MD,A - Marked Patrol
"4th district, Wheaton",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,NORBECK ROAD/CARROLTON RD,No,No,No,No,No,No,MD,FORD,TK,WHITE,Citation,21-201(a1),No,BLACK,M,MD,MD,A - Marked Patrol
"4th district, Wheaton",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,UNIVERSITY BLVD W @ VEIRS MILL RD,No,No,No,No,No,No,MD,NISSAN,SENTRA,GRAY,Warning,21-201(a1),No,ASIAN,M,MD,MD,A - Marked Patrol
"5th district, Germantown",EXCEEDING MAXIMUM SPEED: 55 MPH IN A POSTED 40 MPH ZONE,EB MIDDLEBROOK RD / OBSERVATION DR,No,No,No,No,No,No,MD,TOYO,PICK UP,RED,Citation,21-801.1,No,ASIAN,M,MD,MD,Q - Marked Laser
"5th district, Germantown",EXCEEDING THE POSTED SPEED LIMIT OF 50 MPH,GREAT SENECA HWY @ FOUNTAIN CLUB DR,No,No,No,No,No,No,MD,HONDA,INSIGHT,GRAY,Warning,21-801.1,No,BLACK,F,MD,MD,Q - Marked Laser
"2nd district, Bethesda",OPERATOR NOT RESTRAINED BY SEATBELT,N/B 187/BATTERY LN,No,No,No,No,No,No,DC,HONDA,CIVIC,RED,Citation,22-412.3(b),No,WHITE,M,DC,DC,L - Motorcycle
"3rd district, Silver Spring",DRIVING VEH. ON HWY. WITH UNPAID REGISTRATION FEE,GEORGIA AVENUE AT SPRING STREET,No,No,No,No,No,No,MD,NISSAN,QUEST,GREEN,Warning,13-401(d),No,HISPANIC,F,MD,MD,A - Marked Patrol
"6th district, Gaithersburg / Montgomery Village",EXCEEDING MAXIMUM SPEED: 39 MPH IN A POSTED 30 MPH ZONE,SB RT. 355 @ MARYLAND AVE.,Yes,No,No,No,No,No,MD,TOYOTA,CAMRY,RED,Citation,21-801.1,No,OTHER,M,MD,MD,R - Unmarked Laser
"3rd district, Silver Spring",DRIVING VEH. WHILE WEARING EARPHONES,PINEY BRANCH RD AT ARLISS ST,No,No,No,No,No,No,MD,TOYOTA,COROLLA,RED,Warning,21-1120(c),No,BLACK,M,MD,MD,A - Marked Patrol
"2nd district, Bethesda",FAILURE TO STOP AT STOP SIGN,BOILING BROOK PKW & ROCKING HORSE RD,No,No,No,No,No,No,MD,FORD,E-150,WHITE,Citation,21-707(a),No,WHITE,M,MD,MD,A - Marked Patrol
"2nd district, Bethesda",STOPPING VEH. ON CROSSWALK,METROPOLITAN AVE AT ST PAUL STREET,No,No,No,No,No,No,MD,BMW,SEDAN,SILVER,Citation,21-1003(e),No,HISPANIC,M,MD,MD,A - Marked Patrol
"3rd district, Silver Spring",FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,495/ GEORGIA AVE,No,No,No,No,No,No,DC,HONDA,CIVIC,RED,Warning,16-116(a),No,WHITE,M,MD,DC,A - Marked Patrol
"5th district, Germantown",DRIVER FAILURE TO STOP AT STOP SIGN LINE,TOWN COMMONS DRIVE/CENTURY BLVD,No,No,No,No,No,No,MD,TOYT,TK,MAROON,Warning,21-707(a),No,WHITE,F,MD,MD,A - Marked Patrol
"1st district, Rockville",DRIVING ON HWY. WITH OBSTRUCTED WINDSHIELD VIEW,FREDERICK RD/COLLEGE PKWY,No,No,No,No,No,No,MD,TOYT,COROLLA,SILVER,Warning,21-1104(c),No,HISPANIC,M,MD,MD,Q - Marked Laser
"3rd district, Silver Spring",HOLDER OF LEARNER'S PERMIT DRIVING W/O REQ. SUPERVISION,801 ELLSWORTH DR,No,No,No,No,No,No,MD,TOYOTA,CAMRY,GOLD,Citation,16-105(b1),No,HISPANIC,F,MD,MD,A - Marked Patrol
"1st district, Rockville",STOPLIGHT INOPERATIVE,SHADY GROVE ROAD / FALLSGROVE BOULEVARD,No,No,No,No,No,No,MD,MERC,4S,RED,Warning,11-393.9,No,BLACK,F,MD,MD,A - Marked Patrol
"6th district, Gaithersburg / Montgomery Village",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,RIDGE RD @ OBSERVATION DR,No,No,No,No,No,No,MD,HOND,4S,"GREEN, DK",Warning,21-201(a1),No,WHITE,M,MD,MD,A - Marked Patrol
"3rd district, Silver Spring",FAILURE TO MAINTAIN LEGIBLE REGISTRATION PLATE FREE FROM COVERS,GEORGIA AVE / DENNIS AVE,No,No,No,No,No,No,MD,HONDA,2D,RED,Citation,13-411(c1),No,HISPANIC,M,MD,MD,A - Marked Patrol
"3rd district, Silver Spring",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,UNIVERSITY BLVD@ LORAIN,No,No,No,No,No,No,MD,CHEVROLET,EXPRESS,WHITE,Warning,13-401(h),No,HISPANIC,F,MD,MD,A - Marked Patrol
"4th district, Wheaton",DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY,OLNEY SANDY SPRING RD/SPARTAN RD,No,No,No,Yes,No,No,MD,ACUR,2S,RED,Warning,21-801(a),No,HISPANIC,M,MD,MD,A - Marked Patrol
"4th district, Wheaton",FAILURE TO DRIVE VEHICLE ON RIGHT HALF OF ROADWAY WHEN REQUIRED,AMHERST AVE/ BLUERIDGE,No,No,No,No,No,No,MD,CHEVY,FORD,WHITE,Citation,21-301(a),No,HISPANIC,M,MD,MD,M - Marked (Off-Duty)
"4th district, Wheaton",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,HATHAWAY DR /  WELLER RD,No,No,No,No,No,No,MD,BUCIK,PRICE,WHITE,Warning,21-201(a1),No,WHITE,M,MD,MD,A - Marked Patrol
"4th district, Wheaton",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,NEW HAMPSHIRE AVE/NORWOOD,No,No,No,No,No,No,MD,MAZDA,3,GRAY,Warning,13-409(b),No,WHITE,F,MD,MD,A - Marked Patrol
"4th district, Wheaton",EXCEEDING THE POSTED SPEED LIMIT OF 45 MPH,CONECCTICUT AVE @ DEAN RD,No,No,No,No,No,No,MD,TOYOTA,CAMRY,GREEN,Warning,21-801.1,No,WHITE,M,MD,MD,Q - Marked Laser
"3rd district, Silver Spring",DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING,WAYNE AVE / DALE DR,No,No,No,No,No,No,MD,HYUNDAI,4S,BLACK,Warning,21-204(d),No,BLACK,M,MD,MD,A - Marked Patrol
"4th district, Wheaton",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,UNIVERSITY BLV/ EAST AVE,No,No,No,No,No,No,MD,NISSAN,ALTIMA,MAROON,Warning,21-201(a1),No,OTHER,M,MD,MD,A - Marked Patrol
"6th district, Gaithersburg / Montgomery Village",DRIVING WHILE IMPAIRED BY ALCOHOL,CENTERWAY / THOMAS FARM,No,No,No,No,No,No,MD,TOYOTA,2S,WHITE,Citation,21-902(b1),No,HISPANIC,M,MD,MD,A - Marked Patrol
"5th district, Germantown",DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,CRYSTAL ROCK DR AT FATHER HURLEY BV,No,No,No,No,No,No,MD,GMC,VN,WHITE,Warning,13-411(f),No,BLACK,M,MD,MD,B - Unmarked Patrol
"4th district, Wheaton",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,GEORGIA AVE / CONNECTICUT AVE,No,No,No,No,No,No,MD,CHEV,2S,SILVER,Warning,21-201(a1),No,WHITE,F,MD,MD,A - Marked Patrol
"3rd district, Silver Spring",FAILURE OF DR. TO MAKE LANE CHANGE TO AVAIL. LANE NOT IMMED. ADJ. TO STOPPED EMERG. VEH,NEW HAMPSHIRE AVE @ OVERLOOK DR,No,No,No,No,No,No,MD,TOYT,SOLARA,RED,Warning,21-405(e1),No,BLACK,M,MD,MD,A - Marked Patrol
"3rd district, Silver Spring",EXCEEDING MAXIMUM SPEED: 59 MPH IN A POSTED 35 MPH ZONE,BRIGGS CHANEY AT GATESHEAD MANOR,No,No,No,No,No,No,MD,INFINITI,G30,BLACK,Citation,21-801.1,No,ASIAN,M,MD,MD,A - Marked Patrol
"6th district, Gaithersburg / Montgomery Village",EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH,S/B I270 @ RT 124,No,No,No,No,No,No,MD,YAMA,MC,BLUE,Warning,21-801.1,No,BLACK,M,MD,MD,A - Marked Patrol
"5th district, Germantown",DRIVER OF MOTOR VEHICLE FOLLOWING VEHICLE CLOSER THAN REASONABLE AND PRUDENT,RIDGE RD @ OBSERVATION DR,No,No,No,No,No,No,MD,HONDA,CIVIC,"BLUE, LIGHT",Warning,21-310(a),No,ASIAN,F,MD,MD,A - Marked Patrol
"1st district, Rockville",OPERATING A COMMERCIAL MOTOR VEHICLE CMV W/O A CDL WHEN REQUIRED,NEW HAMPSHIRE AVE @ QUAINT ACRES DR,No,No,No,No,Yes,No,ME,GMC,TK GVW 26000,WHITE,Citation,11-383.23,No,HISPANIC,M,MD,MD,A - Marked Patrol
"3rd district, Silver Spring",PROHIBITED DOUBLE PARKING,1023 QUEBEC TERR,No,No,No,No,No,No,MD,HOND,CN,RED,Citation,21-1003(r),No,HISPANIC,M,MD,MD,A - Marked Patrol
"2nd district, Bethesda",DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,METROPOLITAN @ ST PAUL AT,No,No,No,No,No,No,MD,TOYOTA,CAMRY,GRAY,Warning,21-204(b),No,HISPANIC,F,MD,MD,A - Marked Patrol
"4th district, Wheaton",HEADLIGHT INOPERATIVE,BEL PRE RD / CONNECTICUT AVE,No,No,No,No,No,No,MD,TOYOTA,HIGHLANDER,SILVER,Warning,11-393.9,No,BLACK,F,MD,MD,A - Marked Patrol
